REQUEST_NO,GRANDCHILD,CHILD,PARENT,GRANDPARENT,REQUEST_TYPE,INTERNAL_FIELD_OBSERVATION,INTERNAL_WORK_REQUEST,TITLE,DETAILED_DESCRIPTION,RECEIVED_DATE,FISCAL_YEAR,FISCAL_MONTH,CMPD_DIVISION,DEPARTMENT,DIVISION,NEIGHBORHOOD_PROFILE_AREA,BLOCK_NO,STREET_DIRECTION,STREET_NAME,STREET_TYPE,CITY,STATE,ZIP_CODE,FULL_ADDRESS,RECEIVED_BY,RECEIVED_BY_GROUP,X_COORD,Y_COORD,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,STATUS,ORIGIN,Shape,OBJECTID,MODIFY_DATE,GlobalID,PID
9613195,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,Non-recyclable Items,"Baby Car Seat(1), Chairs(1)",2024-02-07 11:36:54,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1701.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1701 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1446117.0,554487.0,35.25933178,-80.8555678,2.0,CLOSED,MOBILE CITIZEN,POINT (1446117 554487),7287975,,40861442-9A39-4DBA-A371-0D83F6BFD816,06909120
9613040,Special Services,Solid Waste Services,,,ADOPT-A PICKUP SWS,N,N,ADOPT-A PICKUP SWS,Citizen called there are 2 BUS STOP on the opposite sides of the street that has about 7 bags and bulky item at this location,2024-02-07 10:44:22,2024,08-Feb,METRO,Solid Waste Services,Special Services,85.0,1215.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1215 BEATTIES FORD RD, CHARLOTTE, NC  28216",LATRICE JOHNSON,311 Partner Liaison,1445900.0,552752.0,35.25455428,-80.85618593,2.0,CLOSED,CITIZEN,POINT (1445900 552752),7288263,,4AE1E3C9-8237-416A-BA67-F1896D4FDAAC,06906322
9566825,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS, Carpet and Padding,2024-01-03 17:08:10,2024,07-Jan,METRO,Solid Waste Services,Sanitation,374.0,1908.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1908 BEATTIES FORD RD, CHARLOTTE, NC  28216",JORDAN PETERMAN,311 Partner Liaison,1446371.0,555159.0,35.26119092,-80.85475913,2.0,CLOSED,CITIZEN,POINT (1446371 555159),7258125,,6DBC0897-702D-4B00-9EBA-B2EDF97BCBEC,07503608
9599566,Special Services,Solid Waste Services,,,LITTER/DEBRIS IN STREET,N,N,LITTER/DEBRIS IN STREET,"Mattress, Boxspring On The Side Of The Road.",2024-01-29 13:12:01,2024,07-Jan,NORTH,Solid Waste Services,Special Services,196.0,6301.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"6301 BEATTIES FORD RD, CHARLOTTE, NC  28216",LAJETTA ROSEBORO,Special Services,1442664.0,576470.0,35.31954457,-80.86851904,2.0,CLOSED,CITIZEN,POINT (1442664 576470),7279430,,D48ADC3B-363C-4BCF-ACD5-D4A01E92FF15,03710101
9613196,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,RECYCLABLE ITEMS,N,N,Recyclable Items,Printer(1),2024-02-07 11:36:54,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1701.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1701 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1446117.0,554487.0,35.25933178,-80.8555678,2.0,CLOSED,MOBILE CITIZEN,POINT (1446117 554487),7288474,,23D80570-6F4F-448D-B36E-2FC4A00DA5CB,06909120
9608894,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,MISSED BULKY ITEM,N,N,MISSED BULKY ITEM,JOYCE WRIGHT STATES THAT HER BULKY ITEMS WERE NOT PICKED UP.  ,2024-02-05 09:43:48,2024,08-Feb,METRO,Solid Waste Services,Sanitation,139.0,3544.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3544 BEATTIES FORD RD, CHARLOTTE, NC  28216",JERONA WILLIAMS,311 Partner Liaison,1446454.0,562902.0,35.28246651,-80.8549658,2.0,CLOSED,CITIZEN,POINT (1446454 562902),7285301,,AD1F41C7-0B57-4677-BD08-DD5B5FB005C7,04105113
9613183,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,"NEIGHBORHOODS - High weeds &amp; grass, junk in yard, etc.",Remove trash that has been in place for about a month.,2024-02-07 11:31:54,2024,08-Feb,METRO,Housing and NBHD Serv,HNS Code Enforcement,139.0,2904.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"2904 BEATTIES FORD RD, CHARLOTTE, NC  ",EMERALD WEB PAGE,WEB Requests,1446724.0,560018.0,35.27455754,-80.85388076,2.0,CLOSED,MOBILE CITIZEN,POINT (1446724 560018),7288495,,6F467C9D-47B1-494F-94FE-DF7A78B60B00,04101103
9598569,CDOT Customer Service,Transportation,,,CDOT TRAF SIGNAL REPAIR,N,N,CDOT TRAF SIGNAL REPAIR,Hornets Nest Elementary School staff reports the school ahead flashing signals are not working on the northbound side of Beatties Ford Rd as you approach the school.,2024-01-29 08:26:13,2024,07-Jan,NORTH,Transportation,CDOT Customer Service,260.0,6700.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"6700 BEATTIES FORD RD, CHARLOTTE, NC  28216",MATTHEW ALSOP,311 Partner Liaison,1443663.0,578339.0,35.32473059,-80.86528831,2.0,CLOSED,CITIZEN,POINT (1443663 578339),7279577,,09BC6211-DCD1-4039-8843-1F56B4ED37F3,03715105
9611385,Multifamily (Bulky),Solid Waste Services,,,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS," Mattress, STEEL, LAMP",2024-02-06 11:00:50,2024,08-Feb,NORTH,Solid Waste Services,Multifamily (Bulky),196.0,5233.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"5233 BEATTIES FORD RD, CHARLOTTE, NC  28216",JERONA WILLIAMS,311 Partner Liaison,1445077.0,571743.0,35.30668333,-80.86013421,2.0,CLOSED,CITIZEN,POINT (1445077 571743),7287772,,9637126A-9910-4CE8-B2B7-6AF07084CE54,03711204
9616319,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,INVESTIGATE/CONTACT BULKY,N,N,INVESTIGATE/CONTACT BULKY,THE CALLER SAYS THAT HER HOUSE IS BEHIND THE NEW EMMANUEL CHURCH AND ITEMS ARE STILL NOT BEEN PICKED UP. THE REQUEST NUMBER 9608894 SAYS ITEMS WERE PICKED UP AND THERE WERE NOT. ORIGINAL REQUEST 9601902. PLEASE CALL HER AT YOUR EARLIEST CONVENIENCE TO GET THE ITEMS,2024-02-09 10:13:11,2024,08-Feb,METRO,Solid Waste Services,Sanitation,139.0,3544.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3544 BEATTIES FORD RD, CHARLOTTE, NC  28216",CASSANDRA ALLISON,311 Partner Liaison,1446454.0,562902.0,35.28246651,-80.8549658,2.0,CLOSED,CITIZEN,POINT (1446454 562902),7290254,,F56C639D-2F8B-4BEF-AC80-A94168079CE0,04105113
9617245,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,SW DOCUMENT BULKY ITEMS,N,N,SW DOCUMENT BULKY ITEMS,"RHONDA GLOVER CALLED TO REPROT NOT ALL BULKY ITEMS WERE COLLECTED Baby Car Seat(1), Chairs(1) WAS LEFT ",2024-02-09 17:24:01,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1701.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1701 BEATTIES FORD RD, CHARLOTTE, NC  28216",JORDAN PETERMAN,311 Partner Liaison,1446117.0,554487.0,35.25933178,-80.8555678,2.0,CLOSED,CITIZEN,POINT (1446117 554487),7290505,,B932DB99-22C3-4928-8113-B6636386D68D,06909120
9590210,SWS RECYCLING,Sanitation,Solid Waste Services,,MISSED RECYCLING,N,N,MISSED RECYCLING,Caller called in to state that her Recycling was not picked up on Sat as scheduled.  Please advise.,2024-01-22 09:18:48,2024,07-Jan,NORTH,Solid Waste Services,Sanitation,139.0,4924.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4924 BEATTIES FORD RD, CHARLOTTE, NC  28216",TIA BULLETT,311 Partner Liaison,1446265.0,570335.0,35.30287539,-80.85606301,2.0,CLOSED,CITIZEN,POINT (1446265 570335),7273612,,13672B26-3881-4B3B-B081-0DDEA67447CD,04122106
9625511,Zoning Group 5 - Moore,HNS Zoning,HNS Code Enforcement,Housing and NBHD Serv,ZON GENERAL INFO  INQUIRY,N,N,ZON GENERAL INFO  INQUIRY,Caller would like to know if this zoned for a funeral home. Caller would like to know what zone code is for a funeral home. ,2024-02-16 12:55:34,2024,08-Feb,NORTH,Housing and NBHD Serv,HNS Code Enforcement,196.0,6023.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"6023 BEATTIES FORD RD, CHARLOTTE, NC  28216",ALEX CEVALLOS,311 Partner Liaison,1443676.0,575081.0,35.31578108,-80.86503953,2.0,CLOSED,CITIZEN,POINT (1443676 575081),7295380,,9EDF9A82-806C-43F9-AE17-E0AE58592C1F,03736190
9625185,SWS RECYCLING,Sanitation,Solid Waste Services,,SW DOCUMENT RECYCLING,N,N,SW DOCUMENT RECYCLING,"the recycling has not been picked up as of yet
3 homes on at this location
",2024-02-16 10:29:38,2024,08-Feb,NORTH,Solid Waste Services,Sanitation,139.0,4016.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4016 BEATTIES FORD RD, CHARLOTTE, NC  28216",LATRICE JOHNSON,311 Partner Liaison,1445731.0,565551.0,35.2897066,-80.85755413,2.0,CLOSED,CITIZEN,POINT (1445731 565551),7295617,,AAA17D8E-702A-4809-8792-B60024284F0E,04108108
9591119,CDOT Customer Service,Transportation,,,CDOT TRAF SIGNAL REPAIR,N,N,STREETS - Traffic Signal Malfunctioning,,2024-01-22 13:53:55,2024,07-Jan,NORTH,Transportation,CDOT Customer Service,139.0,4000.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4000 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445722.0,565402.0,35.28929681,-80.85757495,2.0,CLOSED,MOBILE CITIZEN,POINT (1445722 565402),7273988,,D07DE296-E872-4C17-9077-1AA6D4A02A39,04108109
9591957,SWS YARD WST AREA 3,SWS YARD WASTE,Sanitation,Solid Waste Services,MISSED YARD WASTE,N,N,MISSED YARD WASTE,CALLER SAYS YARD WASTE WAS NOT COLLECTED. ,2024-01-22 18:59:20,2024,07-Jan,METRO,Solid Waste Services,Sanitation,382.0,415.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"415 BEATTIES FORD RD, CHARLOTTE, NC  28216",DYAN JANNETTE,311 Partner Liaison,1445562.0,549723.0,35.24621571,-80.85712814,2.0,CLOSED,CITIZEN,POINT (1445562 549723),7274171,,2D583C3A-C106-4371-B48A-E5707F0B247C,06901124
9647600,SWS RECYCLING,Sanitation,Solid Waste Services,,MISSED RECYCLING,N,N,MISSED RECYCLING,,2024-03-04 11:15:42,2024,09-Mar,NORTH,Solid Waste Services,Sanitation,139.0,4608.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4608 BEATTIES FORD RD, CHARLOTTE, NC  28216",RAIZA RIVERA,311 Partner Liaison,1446536.0,568606.0,35.29814052,-80.85504822,2.0,CLOSED,CITIZEN,POINT (1446536 568606),7309512,,8C205D7B-F48F-4F9F-9BD4-FB05A0CA1835,04117103
9646907,SWS RECYCLING,Sanitation,Solid Waste Services,,MISSED RECYCLING,N,N,MISSED RECYCLING,Resident states that recycling was not collected on friday.,2024-03-04 08:42:23,2024,09-Mar,NORTH,Solid Waste Services,Sanitation,139.0,4028.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4028 BEATTIES FORD RD, CHARLOTTE, NC  28216",CORDELL ALEXANDER,311 Partner Liaison,1445763.0,565666.0,35.29002417,-80.85745413,2.0,CLOSED,CITIZEN,POINT (1445763 565666),7309528,,FF82DAB3-192A-40BB-A309-DBF4DBD8C85A,04108107
9660028,Multifamily (Bulky),Solid Waste Services,,,MISSED BULKY ITEM,N,N,MISSED BULKY ITEM,bulky items not collected.,2024-03-12 09:16:15,2024,09-Mar,METRO,Solid Waste Services,Multifamily (Bulky),139.0,3008.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3008 BEATTIES FORD RD, CHARLOTTE, NC  28216",CORDELL ALEXANDER,311 Partner Liaison,1446452.0,560497.0,35.27585947,-80.85482193,2.0,CLOSED,CITIZEN,POINT (1446452 560497),7318222,,7A16BFB8-A82E-404B-939B-C1C97B775CC4,04105305
9686933,SWS GARB AREA 1,SWS GARBAGE,Sanitation,Solid Waste Services,SW DOCUMENT GARBAGE,N,N,SW DOCUMENT GARBAGE,ADVISED HAVE UNTIL 7PM FOR PICK-UP,2024-03-28 17:10:33,2024,09-Mar,METRO,Solid Waste Services,Sanitation,382.0,514.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"514 BEATTIES FORD RD, CHARLOTTE, NC  28216",RAIZA RIVERA,311 Partner Liaison,1445757.0,550124.0,35.24732735,-80.85650024,2.0,CLOSED,CITIZEN,POINT (1445757 550124),7334109,,61C8319D-AC05-49B9-8165-3507B06DEDFC,07821208
9646908,SWS RECYCLING,Sanitation,Solid Waste Services,,MISSED RECYCLING,N,N,MISSED RECYCLING,Mr. Rosamond called to report that the recycling on his street was not collected on 3/1,2024-03-04 08:43:19,2024,09-Mar,NORTH,Solid Waste Services,Sanitation,139.0,4416.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4416 BEATTIES FORD RD, CHARLOTTE, NC  28216",MELANIE BLACKWELL,311 Partner Liaison,1446407.0,567950.0,35.29633176,-80.8554394,2.0,CLOSED,CITIZEN,POINT (1446407 567950),7310005,,A57A67DB-2974-4BFB-BF05-8193D626E0A2,04117105
9592828,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,Trash Acumulation,Citizen is reporting that the Family Dollar has a bunch of junk and trash accumulated behind the building. This causes loose trash to blow into neighboring properties.,2024-01-23 12:05:08,2024,07-Jan,METRO,Housing and NBHD Serv,HNS Code Enforcement,139.0,3618.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3618 BEATTIES FORD RD, CHARLOTTE, NC  28216",SERINA HELLER,311 Partner Liaison,1445753.0,563260.0,35.28341398,-80.85733678,2.0,CLOSED,CITIZEN,POINT (1445753 563260),7275102,,4DFF3FF4-95D8-448A-AD4A-1D0877B80581,04108218
9592531,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,MISSED BULKY ITEM,N,N,MISSED BULKY ITEM,"Mr. Jeeter was not collected, the request is still open.  9582821",2024-01-23 10:26:39,2024,07-Jan,METRO,Solid Waste Services,Sanitation,85.0,1519.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1519 BEATTIES FORD RD, CHARLOTTE, NC  28216",LANETTE HARRISON,311 Partner Liaison,1446015.0,553994.0,35.25797218,-80.85587856,2.0,CLOSED,CITIZEN,POINT (1446015 553994),7275376,,8CAA8911-C371-4C0F-BC18-12FC1545320B,06909602
9644810,Special Services,Solid Waste Services,,,MISSED BUSINESS GARBAGE,N,N,MISSED GARBAGE,Resident stated garbage has not been collected in 2 weeks. Truck drove by entire street.,2024-03-01 11:32:54,2024,09-Mar,METRO,Solid Waste Services,Special Services,85.0,1001.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1001 BEATTIES FORD RD, CHARLOTTE, NC  28216",PURA MORRISON,311 Partner Liaison,1445810.0,551895.0,35.25219533,-80.85643368,2.0,CLOSED,CITIZEN,POINT (1445810 551895),7308413,,052BD57A-2809-4B9F-887A-88D7CED06C1C,06906515
9649077,Special Services,Solid Waste Services,,,MISSED BUSINESS GARBAGE,N,N,MISSED BUSINESS GARBAGE,Resident reports that garbage has not been collected for the month of February and on Friday March 1st.,2024-03-04 17:07:27,2024,09-Mar,METRO,Solid Waste Services,Special Services,123.0,3715.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3715 BEATTIES FORD RD, CHARLOTTE, NC  28216",MELANIE BLACKWELL,311 Partner Liaison,1445416.0,563747.0,35.28473452,-80.85849639,2.0,CLOSED,CITIZEN,POINT (1445416 563747),7310378,,DB5E74F5-83C4-4AEC-B117-2EB7E6AA0EDF,03916101
9662297,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,SIGNS PLACED ON THE SIDE OF THE STREET ,"Resident states there are lots of signs on the side of the street along Beatties Ford Rd. and Sunset, Resident states the signs are an eyesore and there on both sides of the street.",2024-03-13 10:01:32,2024,09-Mar,NORTH,Housing and NBHD Serv,HNS Code Enforcement,260.0,5136.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"5136 BEATTIES FORD RD, CHARLOTTE, NC  ",LEIBA ANDREWS,311 Partner Liaison,1445555.0,571303.0,35.30549795,-80.85850299,2.0,CLOSED,CITIZEN,POINT (1445555 571303),7318988,,8F682335-6D17-4827-BA78-5CFAEF8B0E83,03737209
9647584,SWS RECYCLING,Sanitation,Solid Waste Services,,MISSED RECYCLING,N,N,MISSED RECYCLING,,2024-03-04 11:12:10,2024,09-Mar,NORTH,Solid Waste Services,Sanitation,139.0,4600.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4600 BEATTIES FORD RD, CHARLOTTE, NC  28216",RAIZA RIVERA,311 Partner Liaison,1446498.0,568505.0,35.29786111,-80.85516923,2.0,CLOSED,CITIZEN,POINT (1446498 568505),7310527,,4F6AAB43-2285-448B-A24F-A31C9CB8C194,04117111
9683635,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,RECYCLABLE ITEMS,N,N,RECYCLABLE ITEMS,TV ,2024-03-26 16:56:34,2024,09-Mar,METRO,Solid Waste Services,Sanitation,85.0,1307.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1307 BEATTIES FORD RD, CHARLOTTE, NC  28216",DAWN ROBBINS,311 Partner Liaison,1445941.0,553041.0,35.25535032,-80.85606672,2.0,CLOSED,CITIZEN,POINT (1445941 553041),7332354,,725D83D4-3045-4947-8CDF-E8872DB0B8D0,06906126
9640405,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS, Carpet and Padding,2024-02-27 16:07:42,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1519.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1519 BEATTIES FORD RD, CHARLOTTE, NC  28216",LATRICE JOHNSON,311 Partner Liaison,1446015.0,553994.0,35.25797218,-80.85587856,2.0,CLOSED,CITIZEN,POINT (1446015 553994),7305484,,6DEA7587-4437-49FF-97ED-84A178B67EA0,06909602
9640406,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,TIRES,N,N,TIRES,2,2024-02-27 16:07:43,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1519.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1519 BEATTIES FORD RD, CHARLOTTE, NC  28216",LATRICE JOHNSON,311 Partner Liaison,1446015.0,553994.0,35.25797218,-80.85587856,2.0,CLOSED,CITIZEN,POINT (1446015 553994),7305587,,C4C7462A-A1B0-4FC7-B4EC-1697259C5ED3,06909602
9655293,CDOT Customer Service,Transportation,,,CDOT TRAF SIGNAL REPAIR,N,N,CDOT TRAF SIGNAL REPAIR,Citizen reports the flashing school zone signal on the southbound side of Beatties Ford Rd approaching Northwest School of the Arts is not working or flashing during school zone hours.  Citizen states the signal has not worked for more than a month.,2024-03-08 09:51:07,2024,09-Mar,METRO,Transportation,CDOT Customer Service,85.0,1415.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1415 BEATTIES FORD RD, CHARLOTTE, NC  28216",MATTHEW ALSOP,311 Partner Liaison,1445880.0,553579.0,35.25682517,-80.85630472,2.0,CLOSED,CITIZEN,POINT (1445880 553579),7314465,,ABCD6083-D75B-4398-8858-ED10EAB4DE35,06909640
9644982,311 Fulfillment,311 Partner Liaison,Housing and NBHD Serv,,311 DOCUMENT,N,N,311 DOCUMENT,Luth would like to receive a charlotte water identity verification application by email. Please send to LUTHMOTA@GMAIL.COM,2024-03-01 12:41:32,2024,09-Mar,METRO,Housing and NBHD Serv,311 Partner Liaison,374.0,1904.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1904 BEATTIES FORD RD, CHARLOTTE, NC  28216",MARLENE MCNAIR,311 Partner Liaison,1446352.0,555110.0,35.26105533,-80.8548197,2.0,CLOSED,CITIZEN,POINT (1446352 555110),7307692,,76140C09-A1C0-4E15-8F3C-867F8C39338A,07503609
9606083,Carts - Otto,Solid Waste Services,,,CART ISSUE/MISSING CART,N,N,CART ISSUE/MISSING CART,Resident has moved in to new property no recycle cart there.,2024-02-02 09:12:23,2024,08-Feb,METRO,Solid Waste Services,Carts - Otto,382.0,514.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"514 BEATTIES FORD RD, CHARLOTTE, NC  28216",CORDELL ALEXANDER,311 Partner Liaison,1445757.0,550124.0,35.24732735,-80.85650024,2.0,CLOSED,CITIZEN,POINT (1445757 550124),7283968,,292B7C17-1A04-47E8-B416-796BE0F9854B,07821208
9619299,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,INVESTIGATE/CONTACT BULKY,N,N,INVESTIGATE/CONTACT BULKY,"RESIDENT CALLED DUE TO MISSED BULKY REQ THAT WAS DUE FOR PICK UP ON FRIDAY 02/09, NOTE STATED THAT ITEMS WERE BLOCKED BUT RESIDENT STATED THAT SHE WAS HOME ALL DAY AND AT NO POINT WERE ITEMS BLOCKED. Request # 9613195",2024-02-12 14:47:09,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1701.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1701 BEATTIES FORD RD, CHARLOTTE, NC  28216",LASHANA ROSS,311 Partner Liaison,1446117.0,554487.0,35.25933178,-80.8555678,2.0,CLOSED,CITIZEN,POINT (1446117 554487),7292319,,8B52E43D-1A3A-4E10-8D36-7FAB95D2AB7A,06909120
9675595,Zoning Group 5 - Moore,HNS Zoning,HNS Code Enforcement,Housing and NBHD Serv,ZON GENERAL INFO  INQUIRY,N,N,ZON GENERAL INFO  INQUIRY,Resident would like to know if the address below can operate a funeral home out of it. ,2024-03-21 08:39:43,2024,09-Mar,NORTH,Housing and NBHD Serv,HNS Code Enforcement,196.0,6023.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"6023 BEATTIES FORD RD, CHARLOTTE, NC  28216",EBONY HICKS,311 Partner Liaison,1443676.0,575081.0,35.31578108,-80.86503953,2.0,CLOSED,CITIZEN,POINT (1443676 575081),7328189,,7AB6091D-8A64-407E-8AC3-32CF4D9D35F6,03736190
9642929,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,RECYCLABLE ITEMS,N,N,Recyclable Items,Television(1),2024-02-29 10:24:53,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1301.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1301 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445938.0,552967.0,35.25514688,-80.85607213,2.0,CLOSED,MOBILE CITIZEN,POINT (1445938 552967),7307147,,1551F523-5294-40DF-985E-157957E511F2,06906125
9643150,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS,12 Chairs,2024-02-29 11:55:26,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1301.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1301 BEATTIES FORD RD, CHARLOTTE, NC  28216",ZEKIA YOUNG,311 Partner Liaison,1445938.0,552967.0,35.25514688,-80.85607213,2.0,CLOSED,CITIZEN,POINT (1445938 552967),7307251,,43B78AC4-F7D8-47C3-99A2-0496E315B8E2,06906125
9678358,SWS YARD WST AREA 3,SWS YARD WASTE,Sanitation,Solid Waste Services,SW DOCUMENT YARD WASTE,N,N,SW DOCUMENT YARD WASTE,Reminder to collect the yard waste.,2024-03-22 17:16:51,2024,09-Mar,NORTH,Solid Waste Services,Sanitation,139.0,4016.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4016 BEATTIES FORD RD, CHARLOTTE, NC  28216",LEIBA ANDREWS,311 Partner Liaison,1445731.0,565551.0,35.2897066,-80.85755413,2.0,CLOSED,CITIZEN,POINT (1445731 565551),7328838,,6E27D775-55F0-48A8-BE66-030A1AC4E48D,04108108
9655195,NCDOT,,,,NCDOT POTHOLE REQUEST,N,N,NCDOT POTHOLE REQUEST,NEAR THE SHOPPING CENTER THERE IS A POTHOLE ON BEATTIES FORD RD TURNING OFF OF MOUNT HOLLY HUNTERSVILLE RD,2024-03-08 08:58:48,2024,09-Mar,,NCDOT,,,,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0," BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,,,,,,CLOSED,CITIZEN,,7315210,,31B6E3E4-C88E-405E-8761-1C651BEDAF07,
9680025,Police,,,,COMPLAINT,N,N,COMPLAINT,"Councilman Graham received the following complaint from Mr. Dykes regarding the Bee Hive nightclub via email:

I'm writing to follow up with your office concerning the years long complaints about the Bee Hive nightclub located at 4410 Beatties Ford Road. Some progress has been made about the parking and litter, although we occasionally have issues with it...especially left behind open containers of alcohol.  

The one thing we can't seem to solve is the noise. There have been no attempts to abate the bass reverberation by the operators of that business.  My home is a considerable distance from the Bee Hive but I can hear the bass bump all night long. My question is, does the UDO help us at all with usurping the grandfathered non conforming property use law that allowed the Bee Hive to open at all? The address of the Bee Hive is zoned NB-1. And, a nightclub is not a permitted use of of a property in that zone. If the Bee Hive is considered a neighborhood commercial business, I challenge that because it does not serve the Fox Glenn neighborhood and its hours of operation suggests that it is exclusively a nightclub. Please see the screen shot of the UDO.

If the Bee Hive is still protected by grandfathering, can the numerous complaints challenge and revoke their permission to operate? 

While CMPD has responded when we call, the cat and mouse game that would produce citations continues. Sometimes the Bee Hive doesn't play the music loudly until midnight. And after waiting to see if the club operators will be at all sensitive to what they are doing and we call 911...they close at 2 a.m. When officers arrive (non emergency) they only find a few cars in the parking lot and no citation is given. 

Thank you for your attention to this issue. 
",2024-03-25 09:13:05,2024,09-Mar,NORTH,Police,,139.0,4410.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4410 BEATTIES FORD RD, CHARLOTTE, NC  28216",LATOYA WHITE,311 Partner Liaison,1446243.0,567565.0,35.29526568,-80.85596482,2.0,CLOSED,CITIZEN,POINT (1446243 567565),7330671,,F3D50C07-F9A8-41C1-AF7A-F3601697BAB8,04117113
